day,count
2025-01-31,177
2025-02-01,70
2025-02-02,36
2025-02-03,9
2025-02-04,58
2025-02-05,12
2025-02-06,179
2025-02-07,451
2025-02-08,27
2025-02-09,20
2025-02-11,69
2025-02-12,72
2025-02-14,28
2025-02-15,43
2025-02-16,7
2025-02-17,27
2025-02-18,13
2025-02-19,56
2025-02-20,151
2025-02-21,141
2025-02-22,5
2025-02-23,19
2025-02-24,36
2025-02-27,58
2025-02-28,51
2025-03-01,64
2025-03-02,5
2025-03-04,94
2025-03-05,113
2025-03-06,32
2025-03-07,2
2025-03-08,67
2025-03-10,157
2025-03-11,3
2025-03-12,246
2025-03-13,238
2025-03-16,7
2025-03-17,82
2025-03-19,172
2025-03-20,25
2025-03-21,231
2025-03-22,9
2025-03-23,5
2025-03-24,9
2025-03-25,177
2025-03-26,162
2025-03-27,345
2025-03-28,104
2025-03-29,434
2025-03-30,100
2025-04-01,216
2025-04-02,162
2025-04-03,80
2025-04-04,14
2025-04-05,61
2025-04-07,33
2025-04-08,15
2025-04-09,6
2025-04-10,174
2025-04-11,10
2025-04-12,192
2025-04-13,26
2025-04-14,7
2025-04-15,75
2025-04-16,11
2025-04-18,75
2025-04-21,157
2025-04-22,202
2025-04-23,4
2025-04-25,18
2025-04-26,170
2025-04-27,11
2025-04-29,6
2025-05-01,4
2025-05-02,7
2025-05-03,2
2025-05-05,39
2025-05-09,9
2025-05-10,12
2025-05-11,100
2025-05-12,7
2025-05-13,133
2025-05-14,14
2025-05-15,50
2025-05-16,24
2025-05-17,126
2025-05-18,32
2025-05-19,44
2025-05-20,40
2025-05-21,31
2025-05-22,68
2025-05-24,80
2025-05-25,250
2025-05-27,1
2025-05-28,49
2025-06-01,44
2025-06-02,64
2025-06-03,28
2025-06-04,153
2025-06-05,54
2025-06-06,94
2025-06-09,34
2025-06-12,33
2025-06-13,9
2025-06-14,211
2025-06-15,2
2025-06-17,128
2025-06-20,179
2025-06-21,110
2025-06-22,20
2025-06-23,33
2025-06-24,3
2025-06-25,142
2025-06-27,265
2025-06-28,32
2025-06-29,155
2025-06-30,164
2025-07-01,23
2025-07-02,71
2025-07-03,181
2025-07-04,45
2025-07-05,16
2025-07-06,165
2025-07-07,230
2025-07-08,120
2025-07-09,400
2025-07-10,168
2025-07-11,321
2025-07-12,97
2025-07-13,22
2025-07-14,43
2025-07-15,77
2025-07-16,24
2025-07-17,60
2025-07-18,94
2025-07-19,155
2025-07-21,42
2025-07-22,51
2025-07-23,40
2025-07-24,389
2025-07-25,338
2025-07-26,38
2025-07-28,365
2025-07-29,69
2025-07-30,236
2025-07-31,87
2025-08-01,150
2025-08-02,32
2025-08-03,398
2025-08-04,199
2025-08-05,98
2025-08-06,89
2025-08-07,55
2025-08-08,67
2025-08-09,47
2025-08-10,26
2025-08-11,153
2025-08-12,258
2025-08-13,238
2025-08-14,198
2025-08-15,247
2025-08-16,17
2025-08-17,146
2025-08-18,85
2025-08-19,97
2025-08-20,7
2025-08-21,79
2025-08-22,72
2025-08-24,193
2025-08-25,427
2025-08-26,289
2025-08-27,110
2025-08-28,164
2025-08-29,25
2025-08-30,82
2025-08-31,140
2025-09-01,152
2025-09-02,13
2025-09-04,32
2025-09-05,57
2025-09-06,136
2025-09-07,126
2025-09-08,3
2025-09-09,7
2025-09-10,17
2025-09-11,119
2025-09-12,119
2025-09-13,82
2025-09-15,79
2025-09-16,105
2025-09-17,203
2025-09-18,40
